lemma,article,plural,pos,en_gloss,tags
das Erlebnis,das,Erlebnisse,noun,experience (event),erlebnisse
erleben,,,verb,to experience,erlebnisse
sich ereignen,,,verb,to happen/occur,erlebnisse
das Ereignis,das,Ereignisse,noun,event,erlebnisse
geschehen,,,verb,to happen,erlebnisse
plötzlich,,,adv,suddenly,erlebnisse
zufällig,,,adv,by chance,erlebnisse
die Erinnerung,die,Erinnerungen,noun,memory,erlebnisse
unvergesslich,,,adj,unforgettable,erlebnisse
die Geschichte,die,Geschichten,noun,story/history,erlebnisse
erzählen,,,verb,to tell (a story),erlebnisse
der Bericht,der,Berichte,noun,report,medien
berichten,,,verb,to report,medien
die Meldung,die,Meldungen,noun,news item,medien
die Bewerbung,die,Bewerbungen,noun,application,bewerbung
das Anschreiben,das,Anschreiben,noun,cover letter,bewerbung
die Qualifikation,die,Qualifikationen,noun,qualification,bewerbung
die Stelle,die,Stellen,noun,job position,bewerbung
die Stellenanzeige,die,Stellenanzeigen,noun,job ad,bewerbung
einstellen,,,verb,to hire,bewerbung
kündigen,,,verb,to quit/give notice,bewerbung
die Kündigung,die,Kündigungen,noun,resignation/notice,bewerbung
der Arbeitsvertrag,der,Arbeitsverträge,noun,employment contract,bewerbung
das Gehalt,das,Gehälter,noun,salary,bewerbung
die Teilzeit,die,,noun,part-time,bewerbung
die Vollzeit,die,,noun,full-time,bewerbung
verantwortlich,,,adj,responsible,bewerbung
zuständig,,,adj,in charge of,bewerbung
die Aufgabe,die,Aufgaben,noun,task,bewerbung
erledigen,,,verb,to complete (a task),bewerbung
die Fähigkeit,die,Fähigkeiten,noun,ability,bewerbung
die Stärke,die,Stärken,noun,strength,bewerbung
die Schwäche,die,Schwächen,noun,weakness,bewerbung
die Gesellschaft,die,Gesellschaften,noun,society,gesellschaft
die Meinung,die,Meinungen,noun,opinion,meinung
der Meinung sein,,,phrase,to be of the opinion,meinung
begründen,,,verb,to justify,meinung
die Begründung,die,Begründungen,noun,justification,meinung
das Argument,das,Argumente,noun,argument,meinung
dafür sein,,,phrase,to be in favor,meinung
dagegen sein,,,phrase,to be against,meinung
einerseits,,,adv,on one hand,meinung
andererseits,,,adv,on the other hand,meinung
der Kompromiss,der,Kompromisse,noun,compromise,gesellschaft
aushandeln,,,verb,to negotiate,gesellschaft
die Regel,die,Regeln,noun,rule,gesellschaft
die Pflicht,die,Pflichten,noun,duty,gesellschaft
das Recht,das,Rechte,noun,right (legal),gesellschaft
erlauben,,,verb,to allow,gesellschaft
verbieten,,,verb,to forbid,gesellschaft
die Toleranz,die,,noun,tolerance,gesellschaft
die Vielfalt,die,,noun,diversity,gesellschaft
die Integration,die,,noun,integration,gesellschaft
die Kultur,die,Kulturen,noun,culture,kultur
das Umweltproblem,das,Umweltprobleme,noun,environmental problem,umwelt
der Klimawandel,der,,noun,climate change,umwelt
die Erderwärmung,die,,noun,global warming,umwelt
nachhaltig,,,adj,sustainable,umwelt
die Nachhaltigkeit,die,,noun,sustainability,umwelt
der Ressourcen,die,Ressourcen,noun,resource,umwelt
schützen,,,verb,to protect,umwelt
der Schutz,der,,noun,protection,umwelt
die Verschmutzung,die,,noun,pollution,umwelt
verschmutzen,,,verb,to pollute,umwelt
verursachen,,,verb,to cause,umwelt
die Auswirkung,die,Auswirkungen,noun,effect/impact,umwelt
vermeiden,,,verb,to avoid,umwelt
reduzieren,,,verb,to reduce,umwelt
die Erneuerbare Energie,die,,noun,renewable energy,umwelt
das Gefühl,das,Gefühle,noun,feeling,gefuehle
sich fühlen,,,verb,to feel,gefuehle
glücklich,,,adj,happy,gefuehle
traurig,,,adj,sad,gefuehle
wütend,,,adj,angry,gefuehle
enttäuscht,,,adj,disappointed,gefuehle
stolz,,,adj,proud,gefuehle
nervös,,,adj,nervous,gefuehle
überrascht,,,adj,surprised,gefuehle
eifersüchtig,,,adj,jealous,gefuehle
verliebt,,,adj,in love,beziehungen
die Beziehung,die,Beziehungen,noun,relationship,beziehungen
die Freundschaft,die,Freundschaften,noun,friendship,beziehungen
vertrauen,,,verb,to trust,beziehungen
das Vertrauen,das,,noun,trust,beziehungen
sich streiten,,,verb,to argue,beziehungen
sich versöhnen,,,verb,to reconcile,beziehungen
sich verlieben,,,verb,to fall in love,beziehungen
zusammenleben,,,verb,to live together,beziehungen
die Ehe,die,Ehen,noun,marriage,beziehungen
heiraten,,,verb,to marry,beziehungen
sich trennen,,,verb,to separate,beziehungen
unterstützen,,,verb,to support,beziehungen
die Unterstützung,die,,noun,support,beziehungen
der Ratschlag,der,Ratschläge,noun,piece of advice,beziehungen
raten,,,verb,to advise,beziehungen
an jemandes Stelle,,,phrase,in someone's place,beziehungen
das Forum,das,Foren,noun,forum,medien
der Beitrag,der,Beiträge,noun,post/contribution,medien
kommentieren,,,verb,to comment,medien
der Kommentar,der,Kommentare,noun,comment,medien
diskutieren,,,verb,to discuss,medien
die Diskussion,die,Diskussionen,noun,discussion,medien
behaupten,,,verb,to claim,medien
zustimmen,,,verb,to agree,medien
widersprechen,,,verb,to contradict,medien
die Quelle,die,Quellen,noun,source,medien
zuverlässig,,,adj,reliable,medien
die Behauptung,die,Behauptungen,noun,claim,medien
wiedergeben,,,verb,to reproduce/relay,medien
angeblich,,,adv,allegedly,medien
die Bildung,die,,noun,education,bildung
der Bildungsweg,der,Bildungswege,noun,educational path,bildung
die Weiterbildung,die,Weiterbildungen,noun,further education,bildung
das Studium,das,Studien,noun,(university) studies,bildung
der Abschluss,der,Abschlüsse,noun,degree/qualification,bildung
die Vorlesung,die,Vorlesungen,noun,lecture,bildung
das Seminar,das,Seminare,noun,seminar,bildung
die Präsentation,die,Präsentationen,noun,presentation,bildung
präsentieren,,,verb,to present,bildung
vortragen,,,verb,to give a talk,bildung
der Vortrag,der,Vorträge,noun,talk/lecture,bildung
das Thema,das,Themen,noun,topic,bildung
das Wissen,das,,noun,knowledge,bildung
die Fähigkeit,die,Fähigkeiten,noun,skill,bildung
sich konzentrieren,,,verb,to concentrate,bildung
die Konzentration,die,,noun,concentration,bildung
die Kunst,die,Künste,noun,art,kultur
das Theater,das,Theater,noun,theatre,kultur
die Ausstellung,die,Ausstellungen,noun,exhibition,kultur
die Veranstaltung,die,Veranstaltungen,noun,event,kultur
